screen_name,acct_age,follower_count,friends_count,statuses_count,favorites_count,avg_status_count,verified_acct,default_image,default_profile,rel_new_acct,isbot
FearlessDPSingh,3712,2744,3102,8773,3985,2.363415948275862,0,0,0,0,0
Tiger_Azam4U,2772,6711,199,79754,2857,28.771284271284273,0,0,0,0,0
SmarikaRout1,91,1041,497,9636,7894,105.89010989010988,0,0,1,1,0
RekhaYaduvansi,480,17670,4570,36379,493,75.78958333333334,0,0,1,0,1
bittupandit34,1697,10061,975,43944,1146,25.895109015910432,0,0,1,0,0
Mahvish1101,825,3618,201,8316,8188,10.08,0,0,1,0,0
hrituraj73_,1239,13,68,3853,494,3.1097659402744147,0,0,1,0,0
JatShail,3020,86,395,2110,1348,0.6986754966887417,0,0,0,0,0
KkhanShakib,128,5,25,571,648,4.4609375,0,0,1,1,0
prathameshpurud,1115,665,3096,3791,93011,3.4,0,0,1,0,0
kjvenki8,2535,306,725,10574,1561,4.1712031558185405,0,0,0,0,0
bksureshro,2705,384,222,297,31408,0.10979667282809612,0,0,1,0,0
arun_shelly,791,231,65,15080,49478,19.064475347661187,0,0,1,0,0
Nishant20094745,1269,2905,1974,23297,73902,18.358550039401102,0,0,1,0,0
iravaadi,2351,17426,369,120492,8837,51.25138239047214,0,0,0,0,1
AryaPiyushpande,177,2,22,50,908,0.2824858757062147,0,0,1,1,0
vinodimsr,1320,378,2875,29534,38663,22.374242424242425,0,0,0,0,0
savitha_rao,2107,9589,3107,181854,214164,86.3094447081158,0,0,0,0,1
chanderyours,3129,58,157,5551,9258,1.774049217002237,0,0,1,0,0
shail2601,1313,50,84,2670,9058,2.0335110434120334,0,0,1,0,0
FayezSRKian,3018,437,387,5052,14239,1.6739562624254474,0,0,1,0,0
the_PlacardGuy,165,5207,3753,6344,14520,38.448484848484846,0,0,1,1,1
ChakraAvijit,1437,563,505,124593,70387,86.7035490605428,0,0,1,0,0
KapilTiwari7600,821,347,525,4679,3962,5.699147381242387,0,0,1,0,0
manojrunjhun,1850,427,265,123421,123507,66.71405405405406,0,0,1,0,0
Sahebalam728,2001,426,331,17013,13716,8.502248875562218,0,0,1,0,0
Akshayved4,1029,14,6,634,2803,0.6161321671525753,0,0,0,0,0
Ravi_dubey8,156,161,65,2221,4073,14.237179487179487,0,0,1,1,0
Sandeep75254502,424,91,268,1041,4156,2.455188679245283,0,0,1,0,0
fran_aka_mak,822,166,326,12297,13442,14.959854014598541,0,0,0,0,0
IamPdk_17,2128,145,172,10167,31546,4.777725563909774,0,0,1,0,0
speraa_dheeraj,1887,14408,306,378199,4852,200.42342342342343,0,0,1,0,1
uglyladie,120,1598,1319,20254,307,168.78333333333333,0,0,1,1,1
darkdelphic,1583,14,21,1536,4730,0.9703095388502843,0,0,1,0,0
Upendra34072548,75,1,25,36,1,0.48,0,0,1,1,0
digitalone78,3847,140,345,39413,34607,10.245126072264101,0,0,0,0,0
TRIPURESHKUMAR4,386,32,37,209,400,0.5414507772020726,0,0,1,0,0
ImSidhu27,953,778,3896,111316,118676,116.80587618048268,0,0,1,0,0
rautarchanared1,1566,10660,163,126975,15279,81.0823754789272,0,0,1,0,1
Kamlesh44308610,791,4407,5021,2518,6185,3.183312262958281,0,0,1,0,0
room2pradeep,3586,2286,523,14260,31913,3.9765755716675963,0,0,1,0,0
aksrivastava23,1683,4339,4495,75542,43165,44.8853238265003,0,0,1,0,1
ncmgcdeepak,1487,212,78,406,17952,0.2730329522528581,0,0,1,0,0
vyom2vyom,3885,1513,2906,63617,1572,16.375032175032175,0,0,0,0,0
TheThakurSaheb,590,7083,6269,10295,5503,17.449152542372882,0,0,1,0,0
ShivSagar_,432,2967,273,34571,571,80.02546296296296,0,0,1,0,0
mumbaise,914,125,932,18579,21547,20.327133479212254,0,0,1,0,0
BabuBabured,3101,6,103,97,64,0.03128023218316672,0,0,1,0,0
sharma_uneesh12,1004,38,168,193,1675,0.19223107569721115,0,0,1,0,0
VeerYoddha1l,99,56,158,465,514,4.696969696969697,0,0,1,1,0
NayaLifafa,2713,200,228,11349,5825,4.183192038333948,0,0,1,0,0
Jasbir_95,230,181,63,1520,1881,6.608695652173913,0,0,0,1,0
MaheshNayak221,1065,14818,12392,5041,40086,4.733333333333333,0,0,1,0,0
dinkar12,3630,126,1433,53192,84818,14.653443526170799,0,0,1,0,0
irfankasuri700,2219,340,701,8300,1289,3.740423614240649,0,0,1,0,0
UniqueVictor108,538,23,267,1908,3547,3.546468401486989,0,0,0,0,0
s_kindia1,585,120,150,1984,5249,3.3914529914529914,0,0,1,0,0
SyedRiz39250097,415,55,66,869,2835,2.093975903614458,0,0,1,0,0
MyloMegha,2881,4043,65,58139,43311,20.180145782714334,0,0,0,0,0
MuhammedAmras,1950,36,120,119,3939,0.06102564102564102,0,0,1,0,0
upadhyay51,2385,1426,882,84669,1981,35.50062893081761,0,0,1,0,0
WetBehindDEars,2411,618,117,82095,573,34.05018664454583,0,0,0,0,0
OnlyMAQ96,750,36,359,353,153,0.4706666666666667,0,0,1,0,0
RaheelAmad,2496,637,315,25287,24595,10.131009615384615,0,0,0,0,0
Sidha_Simple,761,7449,179,29772,15833,39.122207621550594,0,0,1,0,1
mbhanifyousef,3210,481,4661,24574,30986,7.655451713395639,0,0,1,0,0
_vinayshukla,3070,1300,137,32050,21130,10.439739413680782,0,0,0,0,0
amanag90,3615,84,204,3105,896,0.8589211618257261,0,0,1,0,0
Mukeshjha639,1841,13440,199,214073,1671,116.28082563824009,0,0,1,0,1
HARENDR21921303,1445,330,456,60298,88602,41.72871972318339,0,0,1,0,0
PhiliThomas,1046,1312,4813,5067,6061,4.8441682600382405,0,0,1,0,0
SaffronBabu07,1952,2739,528,118343,15185,60.626536885245905,0,0,1,0,0
Samir31605659,805,86,1508,7258,14784,9.016149068322981,0,0,1,0,0
Sreevid40079305,126,37,50,1834,3680,14.555555555555555,0,0,1,1,0
JAIRAMKHEMKA,2806,682,102,131718,124014,46.94155381325731,0,0,1,0,0
gvnair91,2363,2750,479,266389,245258,112.73338975878121,0,0,1,0,0
ManjuSh32041966,483,2066,1393,9410,34686,19.4824016563147,0,0,1,0,0
iPrabhakarSingP,3698,34883,1628,287364,38966,77.7079502433748,0,0,0,0,1
Colors0077,793,10,16,2708,592,3.4148802017654476,0,0,1,0,0
atulgup81635324,2338,319,409,26160,6469,11.189050470487595,0,0,0,0,0
Ashwani61691839,974,11011,7070,32980,2928,33.860369609856264,0,0,1,0,1
PrishThakkar,3848,214,272,13362,48055,3.4724532224532223,0,0,0,0,0
Rohansopinions,419,117,92,12535,20528,29.916467780429596,0,0,1,0,0
AmrishK00190782,723,276,432,43959,47300,60.80082987551867,0,0,1,0,0
bhartiya007,3800,50,160,1164,1424,0.3063157894736842,0,0,0,0,0
champak_one,1982,30,1310,1164,31127,0.5872855701311807,0,0,1,0,0
prajob,3819,176,622,6923,23377,1.8127782141921969,0,0,1,0,0
muniba_shahid,2303,585,96,25601,40528,11.116369952236214,0,0,0,0,0
Proudlysaffron,2822,646,629,39653,36690,14.051381998582565,0,0,1,0,0
sutha73,3253,55,400,2173,2517,0.6679987703658161,0,0,1,0,0
RajanThakur333,1842,38756,259,53391,48648,28.985342019543975,0,0,1,0,0
BHAVESHJOSHI111,1472,94,241,4756,3553,3.2309782608695654,0,0,1,0,0
SawanShrivasta4,410,1178,1000,5964,13703,14.546341463414635,0,0,1,0,0
DrShoaibmagsi,3508,217,1321,1013,1454,0.28876852907639683,0,0,0,0,0
AnIndian__,2385,22,190,508,895,0.2129979035639413,0,0,1,0,0
PriyadarshiniS_,2713,87,229,522,173,0.19240692959823075,0,0,0,0,0
Virat_Hindu4,123,104,158,8807,22621,71.60162601626017,0,0,1,1,0
RatheeTanisha,361,258,59,7190,10166,19.916897506925206,0,0,1,0,0
The__Neel,1100,86,226,3534,9054,3.212727272727273,0,0,1,0,0
QueenZaidi,377,6831,290,6818,6341,18.084880636604776,0,0,1,0,0
RAHUL9262514,1623,19668,282,402348,3489,247.90388170055454,0,0,1,0,1
FerozKh05245476,280,376,983,25447,30888,90.88214285714285,0,0,1,0,0
mudassar_qamar,1791,73,211,1437,3141,0.8023450586264657,0,0,0,0,0
fleetfootx,612,252,271,4279,25594,6.991830065359477,0,0,1,0,0
sidchowdary,3938,72,449,10009,54919,2.541645505332656,0,0,0,0,0
Devendr77672593,370,1545,1700,7917,10504,21.397297297297296,0,0,1,0,0
_AshishKr,792,8,61,168,211,0.21212121212121213,0,0,1,0,0
Jpchaturvedi18,263,424,482,1903,6387,7.23574144486692,0,0,1,1,0
AjayBha59162404,697,697,893,9330,19373,13.38593974175036,0,0,1,0,0
rakeshpande_IND,1978,4696,3978,30162,39466,15.248736097067745,0,0,1,0,0
12mhkl,86,550,351,4424,3044,51.44186046511628,0,0,1,1,0
Iam_solanki26,950,3345,2195,99509,15758,104.74631578947368,0,0,1,0,1
CaptSalil,2402,1267,1181,69990,123165,29.138218151540382,0,0,1,0,0
BrynjalKaBertha,794,42,59,5786,3059,7.287153652392947,0,0,1,0,0
banhashmi11,1893,41,134,1212,3084,0.6402535657686212,0,0,0,0,0
MukeshMukeshsaw,844,575,758,6810,28458,8.068720379146919,0,0,1,0,0
kalibakdi,3565,171,245,9229,8684,2.5887798036465637,0,0,0,0,0
abssba1954,2119,72,133,13977,2381,6.596035865974517,0,0,0,0,0
Join_Ashish,533,93,212,1912,3889,3.5872420262664164,0,0,1,0,0
IamAngryFellow,2756,3367,148,120235,68566,43.6266328011611,0,0,0,0,1
Ravisharma7766,146,9319,6884,15956,15706,109.28767123287672,0,0,1,1,1
DrAzra143,1716,2092,174,3071,2558,1.7896270396270397,0,0,1,0,0
Nationfirst1432,365,6704,65,17031,8594,46.66027397260274,0,0,1,0,1
IsranNadwi786,684,64,380,331,555,0.48391812865497075,0,0,1,0,0
ramxandude,1148,443,2683,36480,50358,31.777003484320556,0,0,1,0,0
SinghSweetez,671,134,121,10994,13,16.384500745156483,0,0,1,0,0
DrAshwiniRao,3736,69,593,5213,13494,1.3953426124197001,0,0,0,0,0
dspran,3199,1217,2080,20085,6106,6.278524538918412,0,0,1,0,0
ajaykum61068972,546,6882,5771,33223,49589,60.84798534798535,0,0,1,0,1
Genda_Swami,4042,261,1606,5201,9836,1.2867392380009897,0,0,0,0,0
ManojRaj2407,813,570,212,24065,86123,29.600246002460025,0,0,1,0,0
kannadaveera,550,955,656,51997,119097,94.54,0,0,0,0,0
Raghuvirsinh23,1078,415,1214,739,7327,0.6855287569573284,0,0,1,0,0
PRADEEPKUMARGU6,3061,243,482,2476,9653,0.8088859849722313,0,0,0,0,0
1ravisingh,3372,460,571,8615,11748,2.5548635824436534,0,0,1,0,0
saud_b,3512,367,342,838,829,0.2386104783599089,0,0,0,0,0
aniltiwari7273,2027,2387,1215,268138,604440,132.28317710902812,0,0,1,0,0
Munawaralimnz,1571,83,419,9458,271,6.020369191597709,0,0,1,0,0
keyboardjustin,3017,130,157,6293,3416,2.08584686774942,0,0,1,0,0
SabraZahid,3879,472,375,5181,4747,1.3356535189481826,0,0,0,0,0
emran2211,1577,385,455,4613,11517,2.925174381737476,0,0,1,0,0
MaggiieB,1876,881,1160,80830,76626,43.0863539445629,0,0,0,0,0
OrionSantosh,1497,138,704,1742,711,1.1636606546426185,0,0,1,0,0
ra_vi_says,441,84,636,652,10549,1.4784580498866213,0,0,1,0,0
smasithick,3457,1788,1971,11564,7434,3.345096904830778,0,0,0,0,0
swadesh171,3843,11902,1345,32685,63292,8.505074160811866,0,0,0,0,0
editoraju,3627,379,1141,5731,10771,1.5800937413840639,0,0,0,0,0
u_ankit_,581,103,442,14264,17428,24.55077452667814,0,0,0,0,0
khilar20,295,4384,4140,1033,1871,3.5016949152542374,0,0,1,0,0
NandwanaSunaina,324,593,1367,258,539,0.7962962962962963,0,0,1,0,0
Raj_Twetzzzz,2896,220,483,18589,19650,6.418853591160221,0,0,0,0,0
lalithjude76,2475,331,510,9783,3158,3.9527272727272726,0,0,0,0,0
Himansh09748311,74,1,38,59,112,0.7972972972972973,0,0,1,1,0
vasantharaja_k,2118,566,1077,23097,23628,10.905099150141643,0,0,0,0,0
Abbaspatel8,2281,22,137,530,372,0.23235423060061378,0,0,1,0,0
Rehan_280,2321,409,510,9404,5028,4.05170185264972,0,0,1,0,0
aWeirdTweep,2137,742,216,8699,2007,4.0706598034627985,0,0,1,0,0
EarthWarrior_in,239,10,61,2104,3926,8.803347280334728,0,0,1,1,0
prakashag,3300,16739,13046,44105,78583,13.365151515151515,0,0,1,0,0
HNachan,872,15,32,730,1212,0.8371559633027523,0,0,1,0,0
murugu_kurunji,3578,538,744,19300,17886,5.394074902179989,0,0,1,0,0
Anees_Offl,1113,781,217,16661,45470,14.969451931716083,0,0,1,0,0
Yogesh_pnd,1187,435,895,6212,2974,5.233361415332772,0,0,1,0,0
ankushji4646,2745,28,76,811,2247,0.2954462659380692,0,0,1,0,0
PRDMovieReviews,3668,1497,26,65756,30796,17.926935659760087,0,0,0,0,0
esatish999988,1094,224,533,6979,11038,6.379341864716636,0,0,1,0,0
AbhimanyuDhruv,3555,486,1036,10059,9593,2.829535864978903,0,0,1,0,0
jhala_kamlendra,232,748,956,6828,13347,29.43103448275862,0,0,1,1,0
kamala_nair,1043,132,212,3043,2201,2.9175455417066156,0,0,1,0,0
jiit_shah,604,382,174,5319,15061,8.806291390728477,0,0,1,0,0
brajendra_rawat,3711,153,736,21518,62,5.79843707895446,0,0,0,0,0
dissolving_,1762,79,87,5635,341,3.1980703745743475,0,0,0,0,0
ImIndiasMe,1356,331,164,63297,47907,46.67920353982301,0,0,1,0,0
Yogicchi,3289,34,177,2925,29362,0.8893280632411067,0,0,0,0,0
irfan_ansaari,2273,70,227,317,5796,0.139463264408271,0,0,0,0,0
AmitPandey__,2885,3457,611,131285,22169,45.506065857885616,0,0,0,0,1
SayyedHaaris,1168,8,13,46,14,0.039383561643835614,0,0,1,0,0
phanirajsk,1583,344,846,47691,21888,30.126974099810486,0,0,1,0,0
R_Farooquee,2009,283,348,1396,1092,0.6948730711796914,0,0,1,0,0
jafarali333,900,1586,870,216044,205568,240.04888888888888,0,0,1,0,1
yourownsaqqu,493,20,109,180,1715,0.36511156186612576,0,0,1,0,0
sunny_herc,3441,2482,1079,61039,28700,17.73873873873874,0,0,1,0,0
SunilmahlaSahab,2366,435,870,12322,16846,5.207945900253592,0,0,1,0,0
badbutterfllies,3039,3108,979,418145,4594,137.59295820993748,0,0,0,0,1
FUN207981780,88,93,346,3335,4096,37.89772727272727,0,0,1,1,0
